Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","52","Azerbaijan","5510","Production","157","Sugar beet","2020","2020","tonnes","233760","","Official data"
"QCL","Crops and livestock products","52","Azerbaijan","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","233760","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","12","Bahamas","5510","Production","156","Sugar cane","2020","2020","tonnes","61528","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","12","Bahamas","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","61528","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","156","Sugar cane","2020","2020","tonnes","3682951","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","161","Sugar crops nes","2020","2020","tonnes","198914","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","3881865","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","14","Barbados","5510","Production","156","Sugar cane","2020","2020","tonnes","81064","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","14","Barbados","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","81064","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","57","Belarus","5510","Production","157","Sugar beet","2020","2020","tonnes","4010943","","Official data"
"QCL","Crops and livestock products","57","Belarus","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","4010943","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","255","Belgium","5510","Production","157","Sugar beet","2020","2020","tonnes","4783970","","Official data"
"QCL","Crops and livestock products","255","Belgium","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","4783970","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","23","Belize","5510","Production","156","Sugar cane","2020","2020","tonnes","1536864","","Official data"
"QCL","Crops and livestock products","23","Belize","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","1536864","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","53","Benin","5510","Production","156","Sugar cane","2020","2020","tonnes","12050","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","53","Benin","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","12050","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","18","Bhutan","5510","Production","156","Sugar cane","2020","2020","tonnes","732","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","18","Bhutan","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","732","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5510","Production","156","Sugar cane","2020","2020","tonnes","10094423","","Official data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","10094423","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","80","Bosnia and Herzegovina","5510","Production","157","Sugar beet","2020","2020","tonnes","1003","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","80","Bosnia and Herzegovina","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","1003","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","156","Sugar cane","2020","2020","tonnes","757116855","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","757116855","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","157","Sugar beet","2020","2020","tonnes","0","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","233","Burkina Faso","5510","Production","156","Sugar cane","2020","2020","tonnes","503510","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","233","Burkina Faso","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","503510","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","29","Burundi","5510","Production","156","Sugar cane","2020","2020","tonnes","196360","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","29","Burundi","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","196360","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","35","Cabo Verde","5510","Production","156","Sugar cane","2020","2020","tonnes","22940","","Official data"
"QCL","Crops and livestock products","35","Cabo Verde","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","22940","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","115","Cambodia","5510","Production","156","Sugar cane","2020","2020","tonnes","2123185","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","115","Cambodia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","2123185","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","156","Sugar cane","2020","2020","tonnes","1249056","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","1249056","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","33","Canada","5510","Production","157","Sugar beet","2020","2020","tonnes","1066500","","Official data"
"QCL","Crops and livestock products","33","Canada","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","1066500","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","37","Central African Republic","5510","Production","156","Sugar cane","2020","2020","tonnes","127929","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","37","Central African Republic","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","127929","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","39","Chad","5510","Production","156","Sugar cane","2020","2020","tonnes","455538","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","39","Chad","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","455538","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","40","Chile","5510","Production","157","Sugar beet","2020","2020","tonnes","1259048","","Official data"
"QCL","Crops and livestock products","40","Chile","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","1259048","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","351","China","5510","Production","157","Sugar beet","2020","2020","tonnes","11597764","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","351","China","5510","Production","156","Sugar cane","2020","2020","tonnes","108651796","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","351","China","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","120249560","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","41","China, mainland","5510","Production","157","Sugar beet","2020","2020","tonnes","11597764","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","41","China, mainland","5510","Production","156","Sugar cane","2020","2020","tonnes","108121000","","Official data"
"QCL","Crops and livestock products","41","China, mainland","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","119718764","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5510","Production","156","Sugar cane","2020","2020","tonnes","530796","","Official data"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","530796","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","157","Sugar beet","2020","2020","tonnes","29588","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5510","Production","156","Sugar cane","2020","2020","tonnes","24650062","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","161","Sugar crops nes","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","24679650","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","46","Congo","5510","Production","157","Sugar beet","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","46","Congo","5510","Production","156","Sugar cane","2020","2020","tonnes","644749","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","46","Congo","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","644749","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","48","Costa Rica","5510","Production","156","Sugar cane","2020","2020","tonnes","4194597","","Official data"
"QCL","Crops and livestock products","48","Costa Rica","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","4194597","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","156","Sugar cane","2020","2020","tonnes","2134285","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","2134285","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","98","Croatia","5510","Production","157","Sugar beet","2020","2020","tonnes","774330","","Official data"
"QCL","Crops and livestock products","98","Croatia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","774330","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","49","Cuba","5510","Production","156","Sugar cane","2020","2020","tonnes","13894931","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","49","Cuba","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","13894931","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","50","Cyprus","5510","Production","157","Sugar beet","2020","2020","tonnes","0","","Official data"
"QCL","Crops and livestock products","50","Cyprus","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","167","Czechia","5510","Production","157","Sugar beet","2020","2020","tonnes","3671230","","Official data"
"QCL","Crops and livestock products","167","Czechia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","3671230","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5510","Production","156","Sugar cane","2020","2020","tonnes","2136031","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","2136031","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","54","Denmark","5510","Production","157","Sugar beet","2020","2020","tonnes","2558600","","Official data"
"QCL","Crops and livestock products","54","Denmark","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","2558600","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","72","Djibouti","5510","Production","156","Sugar cane","2020","2020","tonnes","53","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","72","Djibouti","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","53","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","55","Dominica","5510","Production","156","Sugar cane","2020","2020","tonnes","4891","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","55","Dominica","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","4891","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","56","Dominican Republic","5510","Production","157","Sugar beet","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","56","Dominican Republic","5510","Production","156","Sugar cane","2020","2020","tonnes","5317273","","Official data"
"QCL","Crops and livestock products","56","Dominican Republic","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","5317273","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","58","Ecuador","5510","Production","157","Sugar beet","2020","2020","tonnes","4438","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","58","Ecuador","5510","Production","156","Sugar cane","2020","2020","tonnes","11016167","","Official data"
"QCL","Crops and livestock products","58","Ecuador","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","11020605","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","59","Egypt","5510","Production","157","Sugar beet","2020","2020","tonnes","13043612","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","59","Egypt","5510","Production","156","Sugar cane","2020","2020","tonnes","14913516","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","59","Egypt","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","27957128","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","60","El Salvador","5510","Production","156","Sugar cane","2020","2020","tonnes","7693622","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","60","El Salvador","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","7693622","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","63","Estonia","5510","Production","157","Sugar beet","2020","2020","tonnes","0","","Official data"
"QCL","Crops and livestock products","63","Estonia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","209","Eswatini","5510","Production","156","Sugar cane","2020","2020","tonnes","5699469","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","209","Eswatini","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","5699469","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","156","Sugar cane","2020","2020","tonnes","1345431","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","1345431","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","66","Fiji","5510","Production","156","Sugar cane","2020","2020","tonnes","1726000","","Official data"
"QCL","Crops and livestock products","66","Fiji","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","1726000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","67","Finland","5510","Production","157","Sugar beet","2020","2020","tonnes","421500","","Official data"
"QCL","Crops and livestock products","67","Finland","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","421500","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","68","France","5510","Production","157","Sugar beet","2020","2020","tonnes","26195460","","Official data"
"QCL","Crops and livestock products","68","France","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","26195460","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","70","French Polynesia","5510","Production","156","Sugar cane","2020","2020","tonnes","3588","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","70","French Polynesia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","3588","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","74","Gabon","5510","Production","156","Sugar cane","2020","2020","tonnes","291539","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","74","Gabon","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","291539","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","73","Georgia","5510","Production","157","Sugar beet","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","73","Georgia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","79","Germany","5510","Production","157","Sugar beet","2020","2020","tonnes","28618100","","Official data"
"QCL","Crops and livestock products","79","Germany","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","28618100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","81","Ghana","5510","Production","156","Sugar cane","2020","2020","tonnes","154361","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","81","Ghana","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","154361","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","84","Greece","5510","Production","157","Sugar beet","2020","2020","tonnes","89000","","Official data"
"QCL","Crops and livestock products","84","Greece","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","89000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","86","Grenada","5510","Production","156","Sugar cane","2020","2020","tonnes","7353","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","86","Grenada","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","7353","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","89","Guatemala","5510","Production","156","Sugar cane","2020","2020","tonnes","28350253","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","89","Guatemala","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","28350253","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","90","Guinea","5510","Production","156","Sugar cane","2020","2020","tonnes","316207","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","90","Guinea","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","316207","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","175","Guinea-Bissau","5510","Production","156","Sugar cane","2020","2020","tonnes","6725","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","175","Guinea-Bissau","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","6725","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","91","Guyana","5510","Production","156","Sugar cane","2020","2020","tonnes","984542","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","91","Guyana","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","984542","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","93","Haiti","5510","Production","156","Sugar cane","2020","2020","tonnes","1550275","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","93","Haiti","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","1550275","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","95","Honduras","5510","Production","156","Sugar cane","2020","2020","tonnes","5030354","","Official data"
"QCL","Crops and livestock products","95","Honduras","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","5030354","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","97","Hungary","5510","Production","157","Sugar beet","2020","2020","tonnes","780460","","Official data"
"QCL","Crops and livestock products","97","Hungary","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","780460","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","156","Sugar cane","2020","2020","tonnes","370500000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","370500000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","101","Indonesia","5510","Production","156","Sugar cane","2020","2020","tonnes","28913829","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","101","Indonesia","5510","Production","161","Sugar crops nes","2020","2020","tonnes","207639","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","101","Indonesia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","29121468","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","157","Sugar beet","2020","2020","tonnes","6225795","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","156","Sugar cane","2020","2020","tonnes","7826820","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","14052615","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","103","Iraq","5510","Production","157","Sugar beet","2020","2020","tonnes","31718","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","103","Iraq","5510","Production","156","Sugar cane","2020","2020","tonnes","0","","Official data"
"QCL","Crops and livestock products","103","Iraq","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","31718","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","104","Ireland","5510","Production","157","Sugar beet","2020","2020","tonnes","0","","Official data"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","105","Israel","5510","Production","157","Sugar beet","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","105","Israel","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","106","Italy","5510","Production","157","Sugar beet","2020","2020","tonnes","1831090","","Official data"
"QCL","Crops and livestock products","106","Italy","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","1831090","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","109","Jamaica","5510","Production","156","Sugar cane","2020","2020","tonnes","519100","","Official data"
"QCL","Crops and livestock products","109","Jamaica","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","519100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","110","Japan","5510","Production","157","Sugar beet","2020","2020","tonnes","3912000","","Official data"
"QCL","Crops and livestock products","110","Japan","5510","Production","156","Sugar cane","2020","2020","tonnes","1167202","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","110","Japan","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","5079202","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","157","Sugar beet","2020","2020","tonnes","466308","","Official data"
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","466308","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","114","Kenya","5510","Production","156","Sugar cane","2020","2020","tonnes","6799923","","Official data"
"QCL","Crops and livestock products","114","Kenya","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","6799923","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","113","Kyrgyzstan","5510","Production","157","Sugar beet","2020","2020","tonnes","448772","","Official data"
"QCL","Crops and livestock products","113","Kyrgyzstan","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","448772","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","120","Lao People's Democratic Republic","5510","Production","156","Sugar cane","2020","2020","tonnes","1450041","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","120","Lao People's Democratic Republic","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","1450041","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","119","Latvia","5510","Production","157","Sugar beet","2020","2020","tonnes","0","","Official data"
"QCL","Crops and livestock products","119","Latvia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","121","Lebanon","5510","Production","157","Sugar beet","2020","2020","tonnes","5476","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","121","Lebanon","5510","Production","156","Sugar cane","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","121","Lebanon","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","5476","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","123","Liberia","5510","Production","156","Sugar cane","2020","2020","tonnes","273445","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","123","Liberia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","273445","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","126","Lithuania","5510","Production","157","Sugar beet","2020","2020","tonnes","948480","","Official data"
"QCL","Crops and livestock products","126","Lithuania","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","948480","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","256","Luxembourg","5510","Production","157","Sugar beet","2020","2020","tonnes","0","","Official data"
"QCL","Crops and livestock products","256","Luxembourg","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","129","Madagascar","5510","Production","156","Sugar cane","2020","2020","tonnes","3016827","Im","FAO data based on imputation methodology"
